Date ,Time,Total Visited
26-02-2021,18.06,7
"26/2/2021","18:8","7"
"26/2/2021","18:13","0"
"26/2/2021","18:14","20"
"26/2/2021","18:16","12"
"26/2/2021","18:17","12"
"26/2/2021","18:17","12"
"26/2/2021","18:18","21"
"26/2/2021","18:20","2"
"26/2/2021","18:20","2"
"26/2/2021","18:21","3"
"26/2/2021","18:23","23"
"26/2/2021","18:23","0"
"26/2/2021","18:24","0"
"26/2/2021","18:24","0"
"26/2/2021","18:25","15"
"26/2/2021","18:26","15"
"26/2/2021","18:27","20"
"5/3/2021","17:38","10"
"5/3/2021","17:38","0"
"5/3/2021","17:41","0"
"5/3/2021","17:45","7"
"5/3/2021","17:51","7"
"5/3/2021","17:56","7"
"5/3/2021","17:58","3"
"5/3/2021","18:2","3"
"5/3/2021","18:4","3"
"5/3/2021","18:5","2"
"5/3/2021","18:11","7"
"5/3/2021","18:50","7"
"5/3/2021","18:50","7"
"5/3/2021","18:53","7"
"5/3/2021","19:26","7"
"5/3/2021","19:37","7"
"6/3/2021","11:32","8"
"6/3/2021","11:32","8"
"6/3/2021","11:32","7"
"6/3/2021","11:35","7"
"6/3/2021","11:35","1"
"6/3/2021","11:35","1"
"6/3/2021","11:36","4"
"6/3/2021","11:53","5"
"6/3/2021","12:14","1"
"6/3/2021","12:17","7"
"6/3/2021","13:32","7"
"6/3/2021","13:33","7"
"6/3/2021","13:34","7"
"13/3/2021","15:21","7"
"13/3/2021","15:22","7"
"13/3/2021","15:22","1"
"13/3/2021","15:34","7"
"13/3/2021","15:34","4"
"13/3/2021","15:35","7"
"13/3/2021","15:36","7"
"19/3/2021","11:37","7"
"3/4/2021","9:23","4"
"3/4/2021","9:24","7"
"3/4/2021","10:13","7"
"3/4/2021","10:14","7"
